t,segment,X,Y,psi,vx,delta,ax,Xd,Yd,Xdd,Ydd,kappa
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.846611266732672618e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,0.000000000000000000e+00,5.464439191953012132e-05,0.000000000000000000e+00,0.000000000000000000e+00,5.693222533465345202e-03,0.000000000000000000e+00,3.179572484200826610e-01,5.693222533465345202e-03,0.000000000000000000e+00,3.186363591478740820e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,0.000000000000000000e+00,2.366075053526515775e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.271828993680330575e-02,0.000000000000000000e+00,3.825325101429464247e-01,1.271828993680330575e-02,0.000000000000000000e+00,3.831980539289996379e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,0.000000000000000000e+00,5.717167316001622868e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.099452293918319806e-02,0.000000000000000000e+00,4.431145091494910204e-01,2.099452293918319806e-02,0.000000000000000000e+00,4.437664859938059703e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,0.000000000000000000e+00,1.084202156876332276e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.044287030278294143e-02,0.000000000000000000e+00,4.997846470901461391e-01,3.044287030278294143e-02,0.000000000000000000e+00,5.004230569927228256e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,1.796729122969076492e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.098590882278905362e-02,0.000000000000000000e+00,5.526243256153408057e-01,4.098590882278905362e-02,0.000000000000000000e+00,5.532491685761793399e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.199999999999999956e-01,0.000000000000000000e+00,2.730430787900123453e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.254784332739657199e-02,0.000000000000000000e+00,6.017149463755044891e-01,5.254784332739657199e-02,0.000000000000000000e+00,6.023262223946053151e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e-01,0.000000000000000000e+00,3.904940686585193620e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.505450667780925122e-02,0.000000000000000000e+00,6.471379110210686569e-01,6.505450667780925122e-02,0.000000000000000000e+00,6.477356200984298873e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-01,0.000000000000000000e+00,5.338425291494164684e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.843335976823931355e-02,0.000000000000000000e+00,6.889746212024592253e-01,7.843335976823931355e-02,0.000000000000000000e+00,6.895587633380827475e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.799999999999999933e-01,0.000000000000000000e+00,7.047616573311240966e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.261349152590760136e-02,0.000000000000000000e+00,7.273064785701075508e-01,9.261349152590760136e-02,0.000000000000000000e+00,7.278770537639931426e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,9.047844561595142984e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.075256189110436189e-01,0.000000000000000000e+00,7.622148847744432132e-01,1.075256189110436189e-01,0.000000000000000000e+00,7.627718930265904307e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000011e-01,0.000000000000000000e+00,1.135306990543924650e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.231020869168853449e-01,0.000000000000000000e+00,7.937812414658949045e-01,1.231020869168853449e-01,0.000000000000000000e+00,7.943246827763044138e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.399999999999999911e-01,0.000000000000000000e+00,1.397591643413178750e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.392768685696793851e-01,0.000000000000000000e+00,8.220869502948930929e-01,1.392768685696793851e-01,0.000000000000000000e+00,8.226168246635641168e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000089e-01,0.000000000000000000e+00,1.692770371781602765e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.559855649286810697e-01,0.000000000000000000e+00,8.472134129118682466e-01,1.559855649286810697e-01,0.000000000000000000e+00,8.477297203387995639e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000266e-01,0.000000000000000000e+00,2.021847962815039729e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.731654050861541339e-01,0.000000000000000000e+00,8.692420309672441725e-01,1.731654050861541339e-01,0.000000000000000000e+00,8.697447714524397799e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,0.000000000000000000e+00,2.385705289896869821e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.907552461673708288e-01,0.000000000000000000e+00,8.882542061114566678e-01,1.907552461673708288e-01,0.000000000000000000e+00,8.887433796549139009e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000067e-01,0.000000000000000000e+00,2.785102568694028044e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.086955733306123939e-01,0.000000000000000000e+00,9.043313399949362008e-01,2.086955733306123939e-01,0.000000000000000000e+00,9.048069465966522840e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000244e-01,0.000000000000000000e+00,3.220682613223017909e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.269284997671683068e-01,0.000000000000000000e+00,9.175548342681061342e-01,2.269284997671683068e-01,0.000000000000000000e+00,9.180168739280838430e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.599999999999999867e-01,0.000000000000000000e+00,3.692974091915932067e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.453977667013365893e-01,0.000000000000000000e+00,9.280060905813973804e-01,2.453977667013365893e-01,0.000000000000000000e+00,9.284545632996381581e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000044e-01,0.000000000000000000e+00,4.202394783686466684e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.640487433904241676e-01,0.000000000000000000e+00,9.357665105852426279e-01,2.640487433904241676e-01,0.000000000000000000e+00,9.362014163617443652e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,0.000000000000000000e+00,4.749254833995941727e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.828284271247463177e-01,0.000000000000000000e+00,9.409174959300665719e-01,2.828284271247463177e-01,0.000000000000000000e+00,9.413388347648322663e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.199999999999999845e-01,0.000000000000000000e+00,5.333760010919312566e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.016854432276268039e-01,0.000000000000000000e+00,9.435404482663019010e-01,3.016854432276268039e-01,0.000000000000000000e+00,9.439482201593309973e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000000022e-01,0.000000000000000000e+00,5.956014961211196501e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.205700450553983782e-01,0.000000000000000000e+00,9.437167692443804157e-01,3.205700450553983782e-01,0.000000000000000000e+00,9.441109741956700274e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000200e-01,0.000000000000000000e+00,6.616026466371882631e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.394341139974020871e-01,0.000000000000000000e+00,9.415278605147268109e-01,3.394341139974020871e-01,0.000000000000000000e+00,9.419084985242791586e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.799999999999999822e-01,0.000000000000000000e+00,7.313706698713347276e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.582311594759874929e-01,0.000000000000000000e+00,9.370551237277755519e-01,3.582311594759874929e-01,0.000000000000000000e+00,9.374221947955878598e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,8.048876477425280507e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.769163189465131181e-01,0.000000000000000000e+00,9.303799605339513334e-01,3.769163189465131181e-01,0.000000000000000000e+00,9.307334646600250450e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000178e-01,0.000000000000000000e+00,8.821268524641093234e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.954463578973455573e-01,0.000000000000000000e+00,9.215837725836824035e-01,3.954463578973455573e-01,0.000000000000000000e+00,9.219237097680205162e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000355e-01,0.000000000000000000e+00,9.630530721503939573e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.137796698498604764e-01,0.000000000000000000e+00,9.107479615274076679e-01,4.137796698498604764e-01,0.000000000000000000e+00,9.110743317700037425e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000000000533e-01,0.000000000000000000e+00,1.047622936423273782e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.318762763584418907e-01,0.000000000000000000e+00,8.979539290155482689e-01,4.318762763584418907e-01,0.000000000000000000e+00,8.982667323164041928e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.799999999999999600e-01,0.000000000000000000e+00,1.135785242018816643e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.496978270104822761e-01,0.000000000000000000e+00,8.832830766985289017e-01,4.496978270104822761e-01,0.000000000000000000e+00,8.835823130576513362e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,1.227481278393872527e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.672075994263830134e-01,0.000000000000000000e+00,8.668168062267884721e-01,4.672075994263830134e-01,0.000000000000000000e+00,8.671024756441740866e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.199999999999999956e-01,0.000000000000000000e+00,1.322645153332670243e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.843704992595538328e-01,0.000000000000000000e+00,8.486365192507552280e-01,4.843704992595538328e-01,0.000000000000000000e+00,8.489086217264028011e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.400000000000000133e-01,0.000000000000000000e+00,1.421204118553422158e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.011530601964132581e-01,0.000000000000000000e+00,8.288236174208627460e-01,5.011530601964132581e-01,0.000000000000000000e+00,8.290821529547663937e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.600000000000000311e-01,0.000000000000000000e+00,1.523078895314925463e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.175234439563883848e-01,0.000000000000000000e+00,8.074595023875286159e-01,5.175234439563883848e-01,0.000000000000000000e+00,8.077044709796943334e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.800000000000000488e-01,0.000000000000000000e+00,1.628184000023163436e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.334514402919143805e-01,0.000000000000000000e+00,7.846255758011864145e-01,5.334514402919143805e-01,0.000000000000000000e+00,7.848569774516160891e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00,1.736428069837906707e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.489084669884358725e-01,0.000000000000000000e+00,7.604032393122768241e-01,5.489084669884358725e-01,0.000000000000000000e+00,7.606210740209612409e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.199999999999999734e-01,0.000000000000000000e+00,1.847714188279316327e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.638675698644053380e-01,0.000000000000000000e+00,7.348738945712085524e-01,5.638675698644053380e-01,0.000000000000000000e+00,7.350781623381594798e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.399999999999999911e-01,0.000000000000000000e+00,1.961940210834545173e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.783034227712842146e-01,0.000000000000000000e+00,7.081189432284240581e-01,5.783034227712842146e-01,0.000000000000000000e+00,7.083096440536394978e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.600000000000000089e-01,0.000000000000000000e+00,2.078999090564337959e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.921923275935423447e-01,0.000000000000000000e+00,6.802197869343515890e-01,5.921923275935423447e-01,0.000000000000000000e+00,6.803969208178310968e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.800000000000000266e-01,0.000000000000000000e+00,2.198779203709634866e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.055122142486583092e-01,0.000000000000000000e+00,6.512578273394282746e-01,6.055122142486583092e-01,0.000000000000000000e+00,6.514213942811636349e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,0.000000000000000000e+00,2.321164675298173219e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.182426406871195379e-01,0.000000000000000000e+00,6.213144660940663755e-01,6.182426406871195379e-01,0.000000000000000000e+00,6.214644660940672471e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.200000000000000622e-01,0.000000000000000000e+00,2.446035704751087503e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.303647928924209776e-01,0.000000000000000000e+00,5.904711048487101266e-01,6.303647928924209776e-01,0.000000000000000000e+00,5.906075379069704034e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.399999999999999689e-01,0.000000000000000000e+00,2.573268891489513543e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.418614848810677564e-01,0.000000000000000000e+00,5.588091452537842230e-01,6.418614848810677564e-01,0.000000000000000000e+00,5.589320113703039050e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.599999999999999867e-01,0.000000000000000000e+00,2.702737560541187412e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.527171587025724087e-01,0.000000000000000000e+00,5.264099889597062543e-01,6.527171587025724087e-01,0.000000000000000000e+00,5.265192881344953335e-01,0.000000000000000000e+00,0.000000000000000000e+00
